time,lat(N),lon(E),alt
163632,4222.2736,-7103.9576,29.9
163633,4222.2816,-7103.9692,30.2
163634,4222.2895,-7103.9808,30.5
163635,4222.2973,-7103.9927,30.9
163636,4222.305,-7104.0048,31.1
163637,4222.3127,-7104.0171,31.2
163638,4222.3204,-7104.0297,31.2
163639,4222.3282,-7104.0425,31.3
163640,4222.3359,-7104.0556,31.4
163641,4222.3435,-7104.0689,31.4
163642,4222.351,-7104.0822,31.5
163643,4222.3584,-7104.0956,31.6
163644,4222.3658,-7104.1091,31.6
163645,4222.3732,-7104.1226,31.8
163646,4222.3805,-7104.1359,31.9
163647,4222.3876,-7104.1489,32
163648,4222.3944,-7104.1615,32
163649,4222.401,-7104.1737,32.1
163650,4222.4074,-7104.1856,32.1
163651,4222.4138,-7104.1974,31.9
163652,4222.4201,-7104.209,31.7
163653,4222.4264,-7104.2206,31.4
163654,4222.4328,-7104.2323,30.9
163655,4222.4392,-7104.2441,30.4
163656,4222.4457,-7104.2561,30
163657,4222.4523,-7104.2681,29.6
163658,4222.4591,-7104.2803,29.3
163659,4222.4659,-7104.2925,29
163700,4222.4729,-7104.3048,28.7
163701,4222.4801,-7104.3172,28.4
163702,4222.4874,-7104.3295,28.1
163703,4222.4949,-7104.3418,27.8
163704,4222.5028,-7104.354,27.5
163705,4222.511,-7104.3661,27.2
163706,4222.5195,-7104.3781,26.9
163707,4222.5283,-7104.3898,26.6
163708,4222.5373,-7104.4014,26.2
163709,4222.5464,-7104.4127,26
163710,4222.5555,-7104.4236,25.7
163711,4222.5648,-7104.4342,25.5
163712,4222.5743,-7104.4442,25.5
163713,4222.5838,-7104.4539,25.7
163714,4222.5934,-7104.4633,25.9
163715,4222.6031,-7104.4725,26.3
163716,4222.6131,-7104.4813,26.8
163717,4222.6233,-7104.4898,27.2
163718,4222.6337,-7104.498,27.7
163719,4222.6444,-7104.5061,28.2
163720,4222.6552,-7104.5143,28.6
163721,4222.6662,-7104.5224,29.1
163722,4222.6774,-7104.5307,29.6
163723,4222.6887,-7104.5388,30.1
163724,4222.7003,-7104.5468,30.5
163725,4222.712,-7104.5545,31
163726,4222.7239,-7104.5619,31.3
163727,4222.7358,-7104.5688,31.5
163728,4222.748,-7104.5755,31.7
163729,4222.7602,-7104.5817,31.7
163730,4222.7723,-7104.5874,31.6
163731,4222.7846,-7104.5923,31.5
163732,4222.7969,-7104.5963,31.2
163733,4222.8093,-7104.5993,30.9
163734,4222.8219,-7104.6015,30.5
163735,4222.8344,-7104.6029,30.1
163736,4222.8469,-7104.6039,29.6
163737,4222.8595,-7104.6042,29.2
163738,4222.8722,-7104.6039,28.8
163739,4222.8849,-7104.603,28.5
163740,4222.8973,-7104.6015,28.3
163741,4222.9096,-7104.5994,28.3
163742,4222.9219,-7104.597,28.5
163743,4222.9343,-7104.5945,28.6
163744,4222.9465,-7104.592,28.8
163745,4222.9585,-7104.5896,28.9
163746,4222.9703,-7104.5878,29.1
163747,4222.982,-7104.5863,29.1
163748,4222.9936,-7104.5853,29.1
163749,4223.0052,-7104.5849,28.9
163750,4223.0168,-7104.5851,28.5
163751,4223.0284,-7104.5858,28.2
163752,4223.04,-7104.5869,27.8
163753,4223.0518,-7104.5884,27.4
163754,4223.0636,-7104.5904,27
163755,4223.0753,-7104.5929,26.6
163756,4223.0869,-7104.5959,26.3
163757,4223.0985,-7104.5996,26
163758,4223.11,-7104.604,25.6
163759,4223.1215,-7104.6088,25.3
163800,4223.1327,-7104.6142,25
163801,4223.1437,-7104.62,24.6
163802,4223.1545,-7104.6263,24.3
163803,4223.165,-7104.6331,24
163804,4223.1753,-7104.6403,23.6
163805,4223.1855,-7104.648,23.2
163806,4223.1954,-7104.6561,22.6
163807,4223.2053,-7104.6646,22.1
163808,4223.215,-7104.6736,21.5
163809,4223.2245,-7104.6829,20.9
163810,4223.2339,-7104.6927,20.3
163811,4223.2433,-7104.7028,19.7
163812,4223.2525,-7104.7132,19.1
163813,4223.2618,-7104.724,18.5
163814,4223.271,-7104.7351,17.9
163815,4223.2803,-7104.7466,17.3
163816,4223.2894,-7104.7584,16.7
163817,4223.2983,-7104.7703,16.1
163818,4223.3072,-7104.7823,15.4
163819,4223.3162,-7104.7943,14.7
163820,4223.3251,-7104.8063,14.1
163821,4223.334,-7104.8182,13.5
163822,4223.3429,-7104.8299,12.8
163823,4223.3517,-7104.8417,12.3
